.	icon
Enterovirus A71	5558
Shigella virus Sf6	5730
Escherichia virus N4	1475
Coxsackievirus B3	6636
Escherichia virus P1	5012
African Swine Fever Virus	0815
Coxsackievirus A10	9600
Macaca mulatta polyomavirus 1	5187
Fako virus	7944
Deformed wing virus	3570
Staphylococcus phage P68	4459
Salmonella phage epsilon15	1175
.	wikipe_img
..	virus
Severe acute respiratory syndrome coronavirus 2	7/76/Novel_Coronavirus_SARS-CoV-2.jpg
Severe acute respiratory syndrome-related coronavirus	7/78/Coronaviruses_004_lores.jpg
Vaccinia virus	8/8c/Vaccinia_virus_PHIL_2143_lores.jpg
Human poliovirus 1	c/cb/Polio.jpg
Ebola virus - Mayinga, Zaire, 1976	f/ff/Ebola_virus_em.jpg
Ebola virus	f/ff/Ebola_virus_em.jpg
Zaire ebolavirus	f/ff/Ebola_virus_em.jpg
Middle East respiratory syndrome-related coronavirus	8/87/MERS-CoV_electron_micrograph1.jpg
Measles morbillivirus	6/62/Measles_virus.JPG
Norwalk virus	7/7b/Norwalk.jpg
Hepacivirus C	3/3b/HCV_EM_picture_2.png

..	bac
Mycobacterium tuberculosis	0/0a/TB_Culture.jpg
Pseudomonas aeruginosa	b/b3/Pseudomonas.jpg
Streptococcus pneumoniae	2/20/Streptococcus_pneumoniae.jpg
Staphylococcus aureus	5/57/Staphylococcus_aureus_01.jpg
Helicobacter pylori	d/d6/EMpylori.jpg
Vibrio cholerae	f/f6/Vibrio_cholerae.jpg
Enterococcus faecalis	4/4a/Enterococcus_faecalis20023-300.jpg
Staphylococcus aureus subsp. aureus	5/57/Staphylococcus_aureus_01.jpg
Yersinia pestis	d/d0/Yersinia_pestis.jpg
Clostridium botulinum 	/f/f0/Clostridium_botulinum.jpg
Campylobacter jejuni	d/df/ARS_Campylobacter_jejuni.jpg
Clostridium perfringens	5/5e/Clostridium_perfringens.jpg
Legionella pneumophila	7/7d/Legionella_pneumophila_01.jpg
..	other
Chlamydomonas reinhardtii	3/3c/Chlamydomonas6-1.jpg
Aequorea victoria	7/73/Aequorea4.jpg
Tetronarce californica	0/0a/Torpedo_californica2.jpg
Canavalia ensiformis	1/16/Canava1.jpg
Tetrahymena thermophila	0/08/Tetrahymena_thermophila.png	
Fusarium oxysporum	f/f9/K7725-1-sm.jpg
Leishmania mexicana	3/3b/Leishmania_mexicana.jpg
Amphitrite ornata	e/e8/Amphitrite_ornata.gif	
Cryptosporidium parvum	9/99/Cryptosporidium_parvum_01.jpg	
Lymnaea stagnalis	d/d6/Water_snail_Rex_2.jpg
Giardia intestinalis	0/08/Giardia_lamblia_SEM_8698_lores.jpg
Spodoptera frugiperda	4/44/Spodoptera_frugiperda.jpg
Psophocarpus tetragonolobus	e/e4/Psophocarpus_tetragonolobus_Blanco2.293.png
Lupinus luteus	2/2b/Illustration_Lupinus_luteus1.jpg
Cicer arietinum	5/55/Chickpea_pods.jpg
Pisum sativum	4/4e/Peas_in_pods_2016_G1.jpg
Vicia faba	5/58/Broad-beans-after-cooking.jpg
Hevea brasiliensis	2/2c/Rubber_tree_plantation.JPG
Ficus carica	e/e5/Feige-Schnitt.png
Artocarpus integer	0/0a/Berthe_Hoola_van_Nooten38.jpg
Pyrus pyrifolia	e/e3/Nasi.jpg
Carica papaya	8/84/Carica_papaya_-_Köhler–s_Medizinal-Pflanzen-029.jpg
Ananas comosus	b/be/Ananas_pflanze.jpg
Cricetulus griseus	4/4f/Chinesedsaffa.jpg
Entamoeba histolytica	c/cb/Entamoeba_histolytica_01.jpg
Rhodnius prolixus	b/b9/Rhodnius_prolixus.jpg
Vibrio parahaemolyticus	5/55/Vibrio_parahaemolyticus_01.jpg
Scapharca inaequivalvis	e/e3/AnadaraPliocene.jpg
Staphylococcus epidermidis	e/e0/Staphylococcus_epidermidis_01.png
Chlamydia trachomatis	a/aa/ChlamydiaTrachomatisEinschlusskörperchen.jpg
