.	emdb
2793	membrane2
2794	membrane2
2795	membrane2
2796	membrane2
2797	80s
2798	80s
2799	motor
2800	protein
2801	needle
2802	needle
2803	needle
2804	needle
2805	needle
2806	needle
2807	membrane
2808	dna
2810	80s
2811	ribosome-c
2812	ribosome-c
2813	80s
2814	cell
2815	cell
2816	virus-o
2817	virus-o
2818	virus-e
2819	virus-o
2820	virus-o
2821	membrane
2822	membrane
2823	virus-e
2824	misc
2825	hem
2826	70s
2827	70s
2828	dna
2829	dna
2830	protein
2831	protein
2832	ribosome-c
2833	virus-e
2834	virus-e
2835	virus-e
2836	virus-e
2837	virus-e
2838	virus-e
2839	virus-e
2840	virus-e
2841	virus-e
2842	virus-e
2843	70s
2844	80s
2845	ribosome-c
2846	misc
2847	70s
2848	motor
2849	cell
2850	motor
2852	membrane
2853	virus-c
2854	motor
2855	motor
2856	motor
2857	motor
2858	80s
2859	membrane
2860	motor
2861	motor
2862	motor
2863	virus-c
2864	virus-c
2865	misc
2866	dna
2867	virus-c
2868	dna
2869	dna
2870	cycle
2871	cycle
2872	dna
2873	dna
2874	misc
2875	80s
2876	70s
2877	70s
2878	70s
2879	ribosome-c
2880	ribosome-c
2881	ribosome-c
2882	misc
2883	misc
2884	misc
2885	misc
2886	misc
2887	misc
2888	misc
2889	misc
2890	misc
2891	misc
2892	misc
2893	misc
2894	misc
2895	misc
2896	membrane2
2897	membrane2
2898	rna
2899	rna
2900	rna
2901	cycle
2902	80s
2903	80s
2904	80s
2905	80s
2906	80s
2907	80s
2908	80s
2909	80s
2910	80s
2911	80s
2912	motor
2913	ribosome-c
2914	70s
2915	motor
2916	motor
2917	70s
2918	motor
2919	motor
2920	motor
2921	motor
2922	rna
2923	rna
2924	cycle
2925	cycle
2926	cycle
2927	needle
2928	needle
2929	cycle
2930	rna
2931	virus-e
2932	virus-e
2933	virus-e
2934	membrane
2935	membrane
2936	misc
2937	misc
2938	80s
2939	cell
2940	misc
2941	misc
2942	misc
2943	misc
2944	misc
2945	misc
2946	amyloid
2947	protein
2948	synth
2949	synth
2950	synth
2951	synth
2952	synth
2953	synth
2954	synth
2955	synth
2956	synth
2957	synth
2958	synth
2959	synth
2960	synth
2961	synth
2962	protein
2963	protein
2964	virus-e
2965	virus-e
2966	rna
2967	virus-e
2968	virus-e
2969	virus-e
2970	70s
2971	cycle
2972	70s
2973	membrane
2974	membrane
2975	membrane
2976	70s
2977	70s
2978	70s
2979	membrane2
2981	protein
2982	membrane
2983	membrane2
2984	misc
2985	membrane2
2986	membrane2
2987	membrane2
2988	membrane2
2989	membrane2
2990	cycle
2991	cell
2992	dna
2993	virus-c
2994	virus-c
2995	protein
2996	virus-e
2997	virus-e
2998	virus-e
